Code,Outre-Mer,Libellé,Population légale 2016,Densité de population (historique depuis 1876) 2015,Taux de pauvreté 2015
200018653,Outre-Mer,CA Cap Excellence,101163,791.8,N/A - résultat non disponible
200041507,Outre-Mer,CA La Riviera du Levant,65471,321.6,N/A - résultat non disponible
200041788,Outre-Mer,CA du Pays Nord Martinique,101863,188.2,35.9
200044691,Outre-Mer,CA du Nord Grande Terre,58267,180.6,N/A - résultat non disponible
200050532,Outre-Mer,CC de Petite-Terre,N/A - résultat non disponible,N/A - résultat non disponible,N/A - résultat non disponible
200059871,Outre-Mer,CC du Centre-Ouest,N/A - résultat non disponible,N/A - résultat non disponible,N/A - résultat non disponible
200060457,Outre-Mer,CA de Dembeni / Mamoudzou,N/A - résultat non disponible,N/A - résultat non disponible,N/A - résultat non disponible
200060465,Outre-Mer,CC du Nord de Mayotte,N/A - résultat non disponible,N/A - résultat non disponible,N/A - résultat non disponible
200060473,Outre-Mer,CC du Sud,N/A - résultat non disponible,N/A - résultat non disponible,N/A - résultat non disponible
249710047,Outre-Mer,CC de Marie-Galante,10867,69.4,N/A - résultat non disponible
249710062,Outre-mer,CA du Nord Basse-Terre,78179,168,N/A - résultat non disponible
249710070,Outre-Mer,CA Grand Sud Caraïbe,80163,234.9,N/A - résultat non disponible
249720053,Outre-Mer,CA de l'Espace Sud de la Martinique,117168,290.4,30.9
249720061,Outre-Mer,CA du Centre de la Martinique,157449,929.6,27.5
249730037,Outre-Mer,CC de l'Ouest Guyanais,92995,2.2,N/A - résultat non disponible
249730045,Outre-Mer,CA du Centre Littoral,137964,25.9,N/A - résultat non disponible
249730052,Outre-Mer,CC de l'Est Guyanais,6956,0.3,N/A - résultat non disponible
249740077,Outre-Mer,CA Civis (Communauté Intercommunale des Villes Solidaires),180729,477.5,42.9
249740085,Outre-Mer,CA du Sud,127041,222.8,44.2
249740093,Outre-Mer,CA Intercommunale de la Réunion Est (Cirest),126777,172,47.1
249740101,Outre-Mer,CA Territoire de la Côte Ouest (Tco),214073,399.8,37.1
249740119,Outre-Mer,CA Intercommunale du Nord de la Réunion (Cinor),204304,705.2,34.9
