Code,Libellé,Population légale 2016,Densité de population (historique depuis 1876) 2015,Taux de pauvreté 2015
01,Guadeloupe,394110,244.4,N/A - résultat non disponible
02,Martinique,376480,337.7,30.9
03,Guyane,269352,3.1,N/A - résultat non disponible
04,La Réunion,852924,339.8,40.4
06,Mayotte,N/A - résultat non disponible,N/A - résultat non disponible,N/A - résultat non disponible
11,Île-de-France,12117132,1005.8,15.9
24,Centre-Val de Loire,2577866,65.9,13.2
27,Bourgogne-Franche-Comté,2818338,59,13.2
28,Normandie,3335929,111.7,13.9
32,Hauts-de-France,6006870,189,18.6
44,Grand Est,5555186,96.8,14.6
52,Pays de la Loire,3737632,115.9,11.2
53,Bretagne,3306529,121.1,11.2
75,Nouvelle-Aquitaine,5935603,70.3,13.7
76,Occitanie,5808435,79.4,17.2
84,Auvergne-Rhône-Alpes,7916889,113,12.8
93,Provence-Alpes-Côte d'Azur,5021928,159.5,17.4
94,Corse,330455,37.7,19.8
,Moyenne nationale," 3,903,626.94    ", 185.30    , 17.60    
,Moyenne France Métropolitaine," 4,959,137.85    ", 171.16    , 14.82    
